order_id,customer_id,delivery_status,order_total,payment_method,promised_minutes,actual_minutes,date,customer_segment,total_orders,avg_order_value,sentiment,distance_km,product_id,quantity,category,margin_percentage
1961864118.0,30065862,On Time,3197.07,Cash,18.0,13.0,2024-07-01,Regular,13,749.95,Neutral,0.96,642612.0,3.0,Pet Care,35.0
5998035939.0,88324928,On Time,3279.72,Card,12.0,10.0,2024-02-01,Regular,13,340.65,Positive,3.32,642612.0,1.0,Pet Care,35.0
4926104391.0,47206881,Slightly Delayed,2029.88,Wallet,20.0,34.0,2023-10-01,Premium,3,929.72,Neutral,3.91,642612.0,2.0,Pet Care,35.0
3475260976.0,57291761,Slightly Delayed,3819.84,Cash,20.0,33.0,2023-03-01,Regular,8,1338.09,Negative,4.22,642612.0,1.0,Pet Care,35.0
8281093933.0,67277562,On Time,781.08,Cash,20.0,15.0,2024-02-01,Inactive,10,1951.59,Neutral,4.31,642612.0,1.0,Pet Care,35.0
7521503340.0,65660660,On Time,1596.34,Wallet,20.0,17.0,2024-05-01,Regular,12,749.66,Negative,2.73,642612.0,2.0,Pet Care,35.0
5758119413.0,22694456,Slightly Delayed,2017.51,Wallet,12.0,19.0,2024-10-01,New,6,697.9,Positive,1.36,642612.0,3.0,Pet Care,35.0
7971689217.0,64932019,Slightly Delayed,4281.75,Wallet,20.0,34.0,2023-10-01,Premium,6,1022.98,Positive,2.44,642612.0,3.0,Pet Care,35.0
4260996213.0,77035814,Significantly Delayed,1730.33,Wallet,10.0,27.0,2023-04-01,Inactive,11,585.35,Positive,1.23,642612.0,2.0,Pet Care,35.0
202466684.0,74840437,On Time,2939.42,Wallet,16.0,11.0,2023-08-01,Inactive,1,330.17,Neutral,1.48,642612.0,1.0,Pet Care,35.0
1746921111.0,56604077,On Time,2466.28,Card,10.0,8.0,2024-08-01,Regular,14,474.26,Neutral,0.83,642612.0,2.0,Pet Care,35.0
4191340899.0,90649019,On Time,3432.55,Card,13.0,13.0,2023-05-01,New,18,1096.12,Positive,2.05,642612.0,3.0,Pet Care,35.0
2206269404.0,96009692,On Time,2748.16,Wallet,11.0,8.0,2024-05-01,Regular,15,1970.23,Positive,0.63,642612.0,1.0,Pet Care,35.0
3739042166.0,92416428,On Time,2089.76,UPI,13.0,18.0,2024-07-01,Regular,5,1255.2,Neutral,4.28,642612.0,3.0,Pet Care,35.0
3494650073.0,49806393,On Time,959.08,Card,14.0,13.0,2024-03-01,Regular,5,1229.25,Positive,3.6,642612.0,2.0,Pet Care,35.0
4074369199.0,18259715,On Time,296.94,Cash,15.0,17.0,2024-06-01,Regular,9,1731.11,Positive,2.09,642612.0,3.0,Pet Care,35.0
5862535621.0,76850859,On Time,2401.81,Card,14.0,16.0,2024-01-01,Inactive,19,468.79,Positive,4.02,642612.0,3.0,Pet Care,35.0
4283323746.0,93321933,Slightly Delayed,2824.79,Wallet,20.0,32.0,2023-11-01,Inactive,10,566.42,Negative,1.35,642612.0,1.0,Pet Care,35.0
6602362287.0,5961261,On Time,2491.22,Cash,13.0,18.0,2024-02-01,Premium,17,309.79,Negative,2.37,642612.0,2.0,Pet Care,35.0
1229660813.0,54748429,Significantly Delayed,5173.19,UPI,15.0,42.0,2023-11-01,New,2,669.35,Neutral,1.31,642612.0,2.0,Pet Care,35.0
8614991290.0,57566548,Significantly Delayed,96.33,Wallet,20.0,41.0,2024-10-01,Regular,14,1058.02,Neutral,3.87,642612.0,2.0,Pet Care,35.0
8247327365.0,30065862,Slightly Delayed,2592.28,Card,13.0,27.0,2024-09-01,Regular,13,749.95,Negative,3.86,704868.0,3.0,Household Care,25.0
7678251499.0,17805991,On Time,3141.37,Cash,10.0,15.0,2023-04-01,New,10,924.9,Negative,1.85,704868.0,1.0,Household Care,25.0
2161235338.0,38902882,Slightly Delayed,4431.77,Wallet,12.0,21.0,2024-04-01,Inactive,17,1583.52,Positive,4.68,704868.0,3.0,Household Care,25.0
7509195875.0,42723554,On Time,4237.4,Card,16.0,19.0,2023-11-01,Regular,10,731.97,Neutral,4.89,704868.0,1.0,Household Care,25.0
5633967304.0,72605638,Slightly Delayed,2009.59,Cash,19.0,34.0,2024-01-01,Inactive,12,983.84,Negative,3.63,704868.0,2.0,Household Care,25.0
1312767771.0,26412689,On Time,2147.13,Wallet,18.0,23.0,2024-09-01,Regular,1,1700.46,Negative,1.58,704868.0,2.0,Household Care,25.0
1134990529.0,63971358,On Time,2294.08,Cash,17.0,22.0,2024-07-01,Regular,2,1159.84,Positive,1.03,704868.0,2.0,Household Care,25.0
5184568404.0,93507573,On Time,872.08,Cash,20.0,16.0,2024-03-01,Premium,2,555.78,Negative,0.93,704868.0,2.0,Household Care,25.0
8391900458.0,43518622,On Time,1807.66,Wallet,11.0,8.0,2023-05-01,Regular,5,512.48,Positive,4.37,704868.0,1.0,Household Care,25.0
9949334146.0,73363613,Significantly Delayed,217.5,Wallet,15.0,39.0,2024-08-01,Premium,3,400.0,Positive,2.71,704868.0,1.0,Household Care,25.0
8766330526.0,85907588,On Time,1580.27,Cash,13.0,10.0,2023-04-01,Inactive,5,505.34,Negative,1.09,704868.0,3.0,Household Care,25.0
3178700341.0,48033969,On Time,1776.0,Cash,13.0,8.0,2024-06-01,Premium,1,717.51,Positive,1.41,704868.0,1.0,Household Care,25.0
1900542981.0,11254582,On Time,2332.14,Card,15.0,19.0,2023-03-01,Inactive,19,1036.03,Negative,1.16,704868.0,1.0,Household Care,25.0
7188270379.0,86487478,Slightly Delayed,5245.33,UPI,11.0,17.0,2024-04-01,Premium,20,1241.57,Negative,1.56,704868.0,2.0,Household Care,25.0
4973943462.0,68341636,Significantly Delayed,1903.83,Card,17.0,37.0,2024-10-01,Premium,19,1043.7,Neutral,1.7,704868.0,3.0,Household Care,25.0
1670694517.0,92356639,On Time,3118.23,Cash,16.0,11.0,2024-08-01,Inactive,10,261.81,Neutral,1.62,704868.0,3.0,Household Care,25.0
6645415772.0,64906311,On Time,2890.11,UPI,13.0,9.0,2024-07-01,Inactive,10,1124.25,Positive,4.61,704868.0,2.0,Household Care,25.0
1901688056.0,16780752,On Time,2814.99,Card,14.0,14.0,2023-09-01,Premium,20,1429.12,Negative,4.41,704868.0,2.0,Household Care,25.0
7740339645.0,70170606,Slightly Delayed,2054.08,Card,16.0,25.0,2023-12-01,Premium,19,921.51,Negative,0.76,704868.0,2.0,Household Care,25.0
9877212995.0,30065862,On Time,1394.21,Card,16.0,11.0,2024-05-01,Regular,13,749.95,Negative,3.48,739534.0,3.0,Household Care,25.0
9997121955.0,46623192,On Time,1756.4,UPI,16.0,13.0,2024-04-01,New,6,1970.59,Positive,2.37,739534.0,2.0,Household Care,25.0
9837170359.0,42723554,On Time,1785.4,Card,17.0,18.0,2023-04-01,Regular,10,731.97,Positive,0.59,739534.0,3.0,Household Care,25.0
3300719369.0,32830199,On Time,105.29,Wallet,20.0,25.0,2024-05-01,Premium,2,680.11,Negative,4.37,739534.0,1.0,Household Care,25.0
806680874.0,14632090,On Time,5405.1,Card,17.0,18.0,2023-11-01,Regular,15,1620.46,Neutral,4.24,739534.0,2.0,Household Care,25.0
4337013612.0,30823988,On Time,422.5,Card,13.0,16.0,2023-05-01,Premium,9,1525.85,Positive,2.79,739534.0,2.0,Household Care,25.0
7263454149.0,13760839,On Time,576.22,Card,14.0,13.0,2023-10-01,Premium,17,444.89,Negative,0.97,739534.0,3.0,Household Care,25.0
4361797433.0,1603358,On Time,3074.92,UPI,14.0,17.0,2023-08-01,Inactive,5,1155.87,Positive,0.64,739534.0,2.0,Household Care,25.0
6417774057.0,22800586,Slightly Delayed,3376.87,Wallet,16.0,22.0,2024-03-01,New,10,1332.02,Negative,2.95,739534.0,3.0,Household Care,25.0
1230061693.0,11616535,On Time,1633.54,Wallet,18.0,19.0,2023-06-01,Premium,6,1583.56,Neutral,2.85,739534.0,2.0,Household Care,25.0
9282982332.0,97873848,On Time,3359.77,Card,19.0,21.0,2024-09-01,Regular,18,1381.21,Negative,1.07,739534.0,2.0,Household Care,25.0
6229535077.0,77869660,On Time,2219.96,Cash,10.0,7.0,2024-04-01,Premium,8,439.41,Negative,0.57,739534.0,2.0,Household Care,25.0
7965253060.0,95912198,Slightly Delayed,217.4,Wallet,16.0,25.0,2024-02-01,Inactive,12,1065.72,Positive,3.58,739534.0,3.0,Household Care,25.0
6143213997.0,71643758,On Time,4464.71,Card,10.0,12.0,2024-03-01,Inactive,7,780.2,Neutral,1.53,739534.0,2.0,Household Care,25.0
692127479.0,67538982,On Time,3284.88,Wallet,13.0,8.0,2024-07-01,Premium,6,1257.71,Negative,3.54,739534.0,2.0,Household Care,25.0
120178110.0,65294340,Slightly Delayed,1508.3,Wallet,17.0,27.0,2024-01-01,New,17,356.29,Negative,1.82,739534.0,3.0,Household Care,25.0
6092636899.0,53025962,On Time,237.62,Wallet,16.0,17.0,2024-10-01,Premium,10,324.92,Positive,1.85,739534.0,2.0,Household Care,25.0
5442705208.0,38420886,On Time,1639.8,Cash,17.0,12.0,2024-08-01,New,20,1180.95,Positive,1.6,739534.0,2.0,Household Care,25.0
6832435511.0,62971413,On Time,2575.94,Cash,19.0,14.0,2023-04-01,Inactive,18,835.09,Positive,4.42,739534.0,3.0,Household Care,25.0
2727595593.0,80875034,On Time,3069.89,UPI,20.0,17.0,2023-11-01,Inactive,4,1407.92,Negative,2.12,739534.0,1.0,Household Care,25.0
3153811191.0,87335844,On Time,755.66,Wallet,12.0,17.0,2024-03-01,Premium,11,1770.89,Positive,4.63,739534.0,3.0,Household Care,25.0
9663384689.0,89523804,Slightly Delayed,1731.34,Cash,18.0,24.0,2023-03-01,Inactive,1,1054.0,Positive,1.58,739534.0,1.0,Household Care,25.0
1549769649.0,9573071,On Time,976.55,Cash,11.0,13.0,2024-05-01,New,5,958.06,Negative,0.98,378676.0,1.0,Cold Drinks & Juices,30.0
4328802292.0,9738801,Significantly Delayed,1926.12,Cash,14.0,32.0,2023-06-01,Inactive,19,376.73,Neutral,3.65,378676.0,2.0,Cold Drinks & Juices,30.0
7902025520.0,78725001,Slightly Delayed,670.62,Wallet,20.0,26.0,2024-01-01,Regular,15,1105.15,Negative,3.29,378676.0,1.0,Cold Drinks & Juices,30.0
4248168019.0,29973346,On Time,1838.03,Card,14.0,10.0,2024-03-01,Premium,1,1786.85,Neutral,3.42,378676.0,3.0,Cold Drinks & Juices,30.0
592358946.0,54952806,On Time,2564.32,Card,20.0,23.0,2024-08-01,Regular,1,1142.91,Negative,1.19,378676.0,3.0,Cold Drinks & Juices,30.0
1295119665.0,99695529,On Time,4979.18,UPI,18.0,13.0,2024-03-01,New,12,1751.77,Neutral,4.34,378676.0,2.0,Cold Drinks & Juices,30.0
278794976.0,94137242,On Time,3325.87,Cash,17.0,21.0,2023-03-01,New,14,1592.85,Neutral,3.84,378676.0,3.0,Cold Drinks & Juices,30.0
5793453795.0,70543108,On Time,3172.62,Cash,10.0,15.0,2024-04-01,Regular,6,1354.97,Neutral,3.36,378676.0,2.0,Cold Drinks & Juices,30.0
689110145.0,84161531,Significantly Delayed,1235.24,UPI,10.0,31.0,2023-05-01,Premium,19,1681.88,Positive,1.81,378676.0,3.0,Cold Drinks & Juices,30.0
3962007460.0,93458307,Significantly Delayed,1119.19,UPI,10.0,29.0,2024-07-01,Inactive,6,541.59,Negative,4.39,378676.0,3.0,Cold Drinks & Juices,30.0
2744509800.0,69276352,On Time,98.32,Cash,14.0,15.0,2023-08-01,Inactive,2,1425.64,Negative,0.78,378676.0,2.0,Cold Drinks & Juices,30.0
931138604.0,38133873,On Time,1521.46,UPI,10.0,6.0,2023-08-01,Premium,10,770.71,Neutral,2.66,378676.0,2.0,Cold Drinks & Juices,30.0
1129130498.0,62243869,On Time,2623.48,Card,14.0,9.0,2023-12-01,Premium,7,257.78,Positive,3.89,378676.0,1.0,Cold Drinks & Juices,30.0
2878422829.0,84641682,On Time,3560.1,Wallet,19.0,14.0,2024-07-01,Inactive,16,909.95,Positive,2.59,378676.0,2.0,Cold Drinks & Juices,30.0
8542325207.0,9573071,On Time,4399.94,Wallet,17.0,20.0,2024-07-01,New,5,958.06,Negative,4.04,373536.0,2.0,Pet Care,35.0
8972877222.0,57291761,On Time,4304.25,Cash,13.0,14.0,2024-10-01,Regular,8,1338.09,Neutral,2.43,373536.0,1.0,Pet Care,35.0
6074837981.0,61015113,On Time,832.37,Card,19.0,17.0,2024-04-01,Regular,4,1764.18,Positive,3.59,373536.0,3.0,Pet Care,35.0
